metal_fraction,porosity_fraction,n_components,specimen_area,z_index,build_z_um,approx_layer
0.31344826547390087,8.34574657761165e-05,1,395411,317,-124.79846,-3.1199615
0.31348711175520183,6.321911746112024e-05,3,395450,318,-122.79596,-3.069899
0.31353071472400906,6.573840665272675e-05,2,395507,319,-120.79346,-3.0198364
0.3136123711928662,9.352361597686681e-05,1,395622,320,-118.790955,-2.9697738
0.3136718297866943,8.59249824359227e-05,1,395694,321,-116.78851,-2.9197128
0.31369085653671924,4.801641656010392e-05,2,395698,322,-114.78601,-2.8696504
0.31364408244290787,5.307788547814328e-05,2,395645,323,-112.78351,-2.8195877
0.31355766928654444,0.00011123583007210105,5,395556,324,-110.781006,-2.769525
0.31345460772390915,0.00012644494966226554,4,395429,325,-108.7785,-2.7194626
0.313372951255052,0.00012141969984038368,2,395323,326,-106.776,-2.6694
0.3133182493487302,7.843375383945875e-05,3,395238,327,-104.7735,-2.6193376
0.31327940306742924,0.00010121457489878542,3,395200,328,-102.770996,-2.569275
0.3132905020049438,0.00012904009351611483,2,395226,329,-100.76849,-2.5192122
0.313353131723776,0.0001568357626012476,2,395318,330,-98.76599,-2.4691498
0.3134339954113821,0.00015679490972912415,2,395421,331,-96.76349,-2.4190872
0.3134918684427081,0.0001643510031732386,3,395495,332,-94.76099,-2.3690248
0.3134847334114487,0.00020480197418989442,2,395504,333,-92.758484,-2.318962
0.31356321875530174,0.00017947693847732778,1,395594,334,-90.75598,-2.2688994
0.3136551813804224,0.00024511290355186285,1,395736,335,-88.75348,-2.218837
0.31370829772424214,0.000247597295631171,1,395804,336,-86.75098,-2.1687744
0.3137233605680119,0.0003082014424838005,3,395845,337,-84.748474,-2.118712
0.3137471440055431,0.00033342932056197995,2,395886,338,-82.74597,-2.0686493
0.31371622553675255,0.00041679823176507736,3,395875,339,-80.74347,-2.0185866
0.3137859902868441,0.0003737836247414453,2,395951,340,-78.74097,-1.9685242
0.3138874662869773,0.0003358034666027041,1,396065,341,-76.738464,-1.9184616
0.3139358259432908,0.0003130475175836771,3,396106,342,-74.73596,-1.868399
0.3139342403807887,0.0002802329720600153,3,396099,343,-72.73346,-1.8183365
0.3139516815683116,0.0002221666805520842,3,396099,344,-70.73096,-1.768274
0.3139659516308303,0.0002827283283687585,4,396140,345,-68.728455,-1.7182114
0.3139754650058428,0.00037103503630842857,2,396189,346,-66.72601,-1.6681503
0.31395723103706885,0.0004391798946473057,2,396193,347,-64.72351,-1.6180878
0.31396991553708553,0.0005729169295690756,4,396218,348,-62.72101,-1.5680252
0.31402937413091353,0.0006383698104066895,3,396322,349,-60.718506,-1.5179627
0.3140721843184697,0.0008222190835536006,4,396488,350,-58.716003,-1.4679
0.3140071762558844,0.0010844674004055403,3,396508,351,-56.7135,-1.4178375
0.3139643660683282,0.0012685202698442721,7,396525,352,-54.711,-1.367775
0.3138541694744336,0.0015032094530688424,2,396485,353,-52.708496,-1.3177124
0.3137273244742671,0.0016902246989760265,4,396397,354,-50.705994,-1.2676499
0.3135941372240923,0.0019780796479825606,3,396344,355,-48.70349,-1.2175872
0.31339197800507695,0.0024377256978179076,2,396271,356,-46.70099,-1.1675247
0.3132889164424417,0.0027708590420095543,5,396267,357,-44.698486,-1.1174622
0.31319378269231685,0.003161674350065227,2,396309,358,-42.695984,-1.0673996
0.313099441723443,0.003557560573145716,3,396339,359,-40.69348,-1.0173371
0.3129789389732849,0.0038329838479726065,3,396297,360,-38.69098,-0.9672745
0.31277123028551224,0.004202762464409039,7,396168,361,-36.688477,-0.9172119
0.3127347623479644,0.00432640368324869,7,396172,362,-34.685974,-0.86714935
0.3126348719103333,0.004694776430203062,8,396185,363,-32.68347,-0.8170868
0.3125587649102334,0.005168062985767639,10,396280,364,-30.68097,-0.7670242
0.3125008918789074,0.005763565187561798,9,396456,365,-28.678467,-0.7169617
0.31238752416000864,0.006287151060594215,5,396523,366,-26.675964,-0.6668991
0.312258300816089,0.007013775438171881,6,396648,367,-24.673462,-0.61683655
0.3121045012533872,0.007465452427595701,3,396627,368,-22.67096,-0.566774
0.3118904503156062,0.008329425763740779,6,396666,369,-20.668457,-0.5167114
0.3117057322841138,0.009080965006905868,10,396764,370,-18.665955,-0.46664888
0.3114908885650818,0.01002839699349666,7,396873,371,-16.663452,-0.4165863
0.3111650554709041,0.010802745298688599,15,396751,372,-14.661011,-0.36652526
0.310848735751739,0.011303795169783911,22,396504,373,-12.658508,-0.3164627
0.310595045751406,0.012039106286163982,26,396458,374,-10.656006,-0.26640016
0.310361175282349,0.012690348927840824,15,396443,375,-8.653503,-0.21633759
