layer,local_tam_p90,local_tam_mean,local_scr_mean,local_scr_std_spatial,n_valid_pixels
125,0.0013597174547612667,0.0007951345760375261,840922.625,1796749.0,2079
126,0.0017733052372932434,0.0009739590459503233,786559.1875,1745490.25,2238
127,0.0015784620773047209,0.000813051185104996,1804639.25,3401631.5,2432
128,0.0017075627110898495,0.0008785370155237615,1554998.25,3064113.75,2427
129,0.0012127384543418884,0.000734643021132797,718636.5,1519399.125,1945
130,0.0021843253634870052,0.0011594037059694529,1243677.0,2751385.25,2239
131,0.0016440630424767733,0.0007827662630006671,2789718.75,4555562.5,2563
132,0.0017771050333976746,0.0009638475603424013,1474643.0,3084075.0,2249
133,0.0013102039229124784,0.0007270618807524443,1661956.875,3214866.5,2235
134,0.0020327121019363403,0.0011395071633160114,652640.0625,1735240.625,1876
135,0.0016552566085010767,0.0009151228005066514,1051461.875,2465340.25,2164
136,0.0017870068550109863,0.0009298172080889344,1747066.875,3454742.75,2316
137,0.0012750013265758753,0.0007663446012884378,671280.8125,1561248.625,1938
138,0.0021669864654541016,0.0012981779873371124,380274.0625,997058.9375,1771
139,0.0016179084777832031,0.0008342151995748281,2004241.875,3864159.75,2301
140,0.0015951410168781877,0.0008777985931374133,1413687.75,3122899.25,2302
141,0.001307908445596695,0.0007069961866363883,1233547.0,2566852.5,2174
142,0.0020838677883148193,0.0012292712926864624,612971.6875,1869561.125,1831
143,0.0016357956919819117,0.0009187248651869595,1430941.875,3078921.25,2078
144,0.0016252740751951933,0.0007787608774378896,2238178.0,4067805.25,2254
145,0.0013728067278862,0.0007959625218063593,687946.0,1624122.625,2006
146,0.0020684360060840845,0.0012238520430400968,626279.5,1901360.125,1783
147,0.001584154088050127,0.0008398760110139847,1592353.875,3325829.75,2218
148,0.001821659505367279,0.0010116401826962829,1129466.625,2705382.0,2077
149,0.0012509599328041077,0.0007289416971616447,1126647.875,2516095.75,2047
150,0.0023121952544897795,0.001283161691389978,1084175.125,2647435.0,1940
151,0.001748954993672669,0.0008606575429439545,1744372.375,3279646.0,2384
152,0.0016410134267061949,0.0008856289787217975,1582451.875,3395776.75,2134
153,0.0012362353736534715,0.0006055360427126288,1901127.875,3529711.0,2554
154,0.0020407824777066708,0.0010411615949124098,1715464.0,3474685.75,2164
155,0.00167644617613405,0.0008306963136419654,1189733.25,2599575.0,2540
156,0.0016691504279151559,0.0007892001303844154,1790826.625,3508207.5,2547
157,0.0012822393327951431,0.0006650718278251588,1340158.75,2786066.5,2766
158,0.0021798734087496996,0.0009689773432910442,1363944.125,2827213.75,3008
159,0.0016777515411376953,0.0008527206955477595,1214792.25,2836239.0,2906
160,0.0018146529328078032,0.0009591568959876895,1539674.25,3207998.75,2764
161,0.0012594863073900342,0.000676932861097157,1372479.25,2766472.0,3365
162,0.002092807786539197,0.001019826391711831,1520368.25,3169599.0,3173
163,0.0016120672225952148,0.0008889324381016195,994066.625,2443730.25,3366
164,0.0019388317596167326,0.001029761042445898,1931823.875,3725037.25,3649
165,0.0014048918383195996,0.0007980638183653355,808073.875,1856028.875,3618
166,0.0019752143416553736,0.0009394805529154837,1903593.5,3491295.25,4167
167,0.0017923294799402356,0.0010370932286605239,471630.40625,1276967.625,3574
168,0.0021691471338272095,0.0010525782126933336,1438973.625,3028754.25,4161
169,0.0012941486202180386,0.0008034673519432545,590225.625,1402965.875,3782
170,0.0022679269313812256,0.0012425993336364627,829096.5,2230558.0,3921
171,0.001661777263507247,0.0010497518815100193,398210.8125,1236460.875,3775
172,0.0023274272680282593,0.0013024868676438928,1009558.8125,2415514.5,4357
173,0.0012223795056343079,0.0008289273246191442,859416.25,2133112.25,4172
174,0.001872062566690147,0.001088732504285872,1017432.8125,2489627.0,4515
175,0.00167083740234375,0.0012089675292372704,354539.21875,981945.8125,3801
176,0.0019055664306506515,0.0011124088196083903,1192179.875,2652301.75,4580
177,0.0012903325259685516,0.0009247895795851946,787970.0625,1934229.375,4176
178,0.0018054842948913574,0.0010274823289364576,1191349.375,2533648.25,4555
179,0.001679873326793313,0.0012671255972236395,350872.625,1080000.0,3877
180,0.0021932944655418396,0.0013038452016189694,1083638.0,2456589.5,4586
181,0.0012090348172932863,0.0008775643073022366,613599.125,1476889.0,4028
182,0.0016186714638024569,0.0009022564627230167,1074146.125,2246060.5,4760
183,0.0018298267386853695,0.0013055112212896347,236880.046875,464468.84375,3747
184,0.002118416130542755,0.0012498019495978951,987243.875,2341570.0,4491
185,0.0012483983300626278,0.0008761066710576415,863946.375,2278156.25,4152
186,0.0019078729674220085,0.001069774036295712,1315997.375,2876362.25,4453
187,0.0016756175318732858,0.0012212106958031654,279246.75,849524.8125,3803
188,0.0018268823623657227,0.0010320869041606784,1178603.125,2494328.25,4711
189,0.001242916681803763,0.0008663796470500529,695519.875,1759480.125,4140
190,0.0019144415855407715,0.0011333584552630782,1134801.5,2579764.75,4411
191,0.00183533423114568,0.0013392980908975005,306829.4375,908507.0,3785
192,0.001929646823555231,0.0011295685544610023,945401.75,2072908.0,4595
193,0.0012846119934692979,0.0008952225907705724,773919.4375,1973450.5,4214
194,0.0018658041954040527,0.0010588810546323657,1324666.125,2741801.5,4536
195,0.0016774770338088274,0.0012615951709449291,424152.40625,1379507.125,3763
196,0.00224856729619205,0.001304182573221624,1388257.0,3142656.5,4583
197,0.0012480635195970535,0.0008473987109027803,753890.75,1606635.25,4276
198,0.001606583595275879,0.0009357683593407273,1295325.25,2763420.25,4542
199,0.0016172854229807854,0.0011731318663805723,301087.46875,1001420.75,3800
200,0.002051692456007004,0.0012014491949230433,1225384.5,2649999.0,4598
201,0.0013213157653808594,0.0009116387227550149,931199.125,2230658.75,4251
202,0.0018024980090558529,0.00102277344558388,1122271.5,2563257.0,4549
203,0.0018175719305872917,0.001314838300459087,387442.3125,1173270.125,3837
204,0.0021405008155852556,0.0012233374873176217,1403737.0,2965610.0,4689
205,0.001232493668794632,0.0008970634662546217,696122.375,1659432.625,4036
206,0.001804068684577942,0.0010396902216598392,1092849.25,2526752.25,4496
207,0.001708173775114119,0.0012593654682859778,235820.65625,468466.71875,3689
208,0.0021016327664256096,0.0011712979758158326,1481459.75,3097637.5,4754
209,0.0012500315206125379,0.0009212960139848292,567050.25,1481024.75,3968
210,0.0017017717473208904,0.0009954218985512853,1127209.875,2464860.0,4478
211,0.0016094803577288985,0.0011994980741292238,308502.65625,822423.5,3773
212,0.0019296332029625773,0.001106333453208208,1237680.5,2576445.5,4714
213,0.001281939446926117,0.0009207978728227317,765932.8125,1850037.5,4053
214,0.0017048269510269165,0.0009814571822062135,1344279.375,2754268.5,4556
215,0.0016548990970477462,0.0012151189148426056,381417.5,1058072.25,3785
216,0.0019900724291801453,0.0011573551455512643,1099776.875,2404419.5,4630
217,0.0011572226649150252,0.0008260576287284493,758015.0625,1815779.25,4053
218,0.0016855299472808838,0.0009799915133044124,1190006.375,2597619.5,4431
219,0.001624452997930348,0.0011885054409503937,377621.90625,1292917.75,3773
220,0.002165938960388303,0.0012746676802635193,1147380.75,2649975.75,4540
221,0.0011538639664649963,0.0008070535259321332,1053542.625,2461777.25,4075
222,0.001708215451799333,0.001002442091703415,1217128.25,2562593.5,4454
223,0.0015908593777567148,0.0011568466434255242,241649.0625,485791.09375,3738
224,0.0019911713898181915,0.001098616048693657,1194860.5,2732913.25,4446
225,0.0011646051425486803,0.0008247016230598092,805851.4375,1939976.0,4082
226,0.0017598924459889531,0.0010002772323787212,1051371.875,2319762.0,4385
227,0.001616060733795166,0.0011630187509581447,368845.75,1137782.375,3811
228,0.002176891313865781,0.0012210713466629386,1354355.5,2761083.25,4680
229,0.0012237622868269682,0.0008738565375097096,752728.8125,1869718.125,4003
230,0.0019759386777877808,0.00108710874337703,1478224.75,3015447.0,4616
231,0.001675760722719133,0.001235400908626616,289097.71875,706275.0,3709
232,0.0019092531874775887,0.0011066733859479427,2431528.25,4057358.0,4715
233,0.0013200566172599792,0.0009393588406965137,730071.3125,1838696.25,4013
234,0.0018633187282830477,0.0010797141585499048,1292402.0,2845135.0,4507
235,0.0016272127395495772,0.0011871028691530228,408542.28125,1287507.375,3824
236,0.0019656866788864136,0.0010991811286658049,1232282.125,2671975.0,4531
237,0.0011627643834799528,0.0007870863191783428,1172277.875,2748342.0,4230
238,0.0017015873454511166,0.0009548637899570167,1143953.625,2470706.5,4435
239,0.0016118884086608887,0.001171500189229846,313618.5625,715730.0625,3754
240,0.0020359978079795837,0.001119688036851585,1338425.625,2793422.0,4756
241,0.0012432783842086792,0.0008834999753162265,685763.25,1616740.0,3981
242,0.001676368759945035,0.0009803712600842118,1157691.25,2535101.0,4519
243,0.0016764639876782894,0.0012159596662968397,297973.46875,856947.0,3717
244,0.0019655763171613216,0.0012622051872313023,1917132.375,3677792.5,4852
245,0.0013610258465632796,0.000970583816524595,762715.0625,2054589.0,4065
246,0.0016431271797046065,0.0009044624748639762,1569711.625,3203247.25,4777
247,0.001747250440530479,0.0012713538017123938,290897.34375,690665.1875,3718
248,0.0021938560530543327,0.0012661352520808578,996649.625,2325222.75,4370
249,0.0012120261089876294,0.0008538028341718018,754098.1875,1983492.25,3985
250,0.0018361954716965556,0.0010350393131375313,1480882.375,3173183.0,4452
251,0.0016656904481351376,0.0011844129767268896,545359.25,1701528.875,3810
252,0.0020572333596646786,0.001163489418104291,1586153.625,3314817.75,4789
253,0.00125812366604805,0.0008895284845493734,748331.875,1895540.25,3912
254,0.0017540454864501953,0.0009743296541273594,1519810.375,2987979.75,4701
255,0.0017617195844650269,0.0013148835860192776,231938.65625,304230.9375,3692
256,0.0020066113211214542,0.0011649004882201552,1116946.125,2379219.0,4615
257,0.0012378785759210587,0.0008598269778303802,1169580.0,2727306.5,4176
258,0.0018200129270553589,0.0010273943189531565,1235802.25,2722990.25,4334
259,0.0016389042139053345,0.0011571906507015228,266008.5,832455.5,3676
260,0.0020371496211737394,0.001192258088849485,1717297.0,3458984.5,4509
261,0.0012180133489891887,0.0008698762394487858,666116.125,1660974.75,3925
262,0.0017325279768556356,0.0009903657482936978,1720420.625,3387066.75,4552
263,0.0016094326274469495,0.0011560809798538685,307699.03125,885474.625,3832
264,0.0021001845598220825,0.0012465908657759428,1498204.875,2997264.0,4373
265,0.0012976505095139146,0.0009190835990011692,733393.125,1926764.125,3970
266,0.0016960203647613525,0.0009728959412313998,1325598.625,2750542.25,4571
267,0.0016952453879639506,0.0012404554290696979,286151.6875,938782.6875,3692
268,0.0020310357213020325,0.0012401490239426494,1884884.625,3635228.0,4806
269,0.001215052790939808,0.0008195272530429065,1013298.9375,2245666.75,4276
270,0.0016489833360537887,0.0009455716935917735,1141234.625,2516194.0,4382
271,0.001695740153081715,0.001223627827130258,321468.1875,1110322.0,3655
272,0.0019309594063088298,0.0010509504936635494,1384567.875,2935742.5,4734
273,0.0013032883871346712,0.0009422692819498479,674517.875,1706378.625,3909
274,0.0018438935512676835,0.0010196443181484938,1176638.0,2514731.5,4487
275,0.0017181216971948743,0.00125778722576797,230961.390625,498174.4375,3659
276,0.0021362125407904387,0.0012206247774884105,1377580.25,2914696.5,4620
277,0.001257802126929164,0.0008736407035030425,996114.5625,2460863.25,4102
278,0.001922935014590621,0.0011060710530728102,1127066.0,2619804.5,4355
279,0.0016418695449829102,0.0011738825123757124,432681.4375,1543057.375,3770
280,0.0020449028816074133,0.0011436460772529244,1409264.25,2886177.5,4655
281,0.001246672822162509,0.000824952672701329,943772.75,2132970.75,4277
282,0.0017300962936133146,0.0009887167252600193,1377197.875,2854888.5,4519
283,0.0016773074166849256,0.0011197420535609126,562359.75,1383361.375,4134
284,0.001975038554519415,0.0011124205775558949,1398896.25,2913041.0,4615
285,0.0012632086873054504,0.0008645621128380299,1245091.625,2915492.75,4181
286,0.0018598168389871716,0.0010720129357650876,1002249.375,2367202.5,4240
287,0.001741891959682107,0.0012662000954151154,242594.265625,358869.4375,3758
288,0.002256432082504034,0.0012762921396642923,1392638.75,2911392.5,4537
289,0.0013313351664692163,0.0009539933525957167,847732.375,2153527.5,3978
290,0.0018069029320031404,0.00098699692171067,1204957.5,2541346.5,4635
291,0.0017803013324737549,0.001282208482734859,281826.0,604313.375,3711
292,0.002132934285327792,0.00122532295063138,1357239.25,2923607.0,4640
293,0.0012992024421691895,0.0009091428364627063,783548.3125,2036326.5,3925
294,0.0018207371467724442,0.001049721846356988,1407461.5,2949225.5,4397
295,0.0018469691276550293,0.0013438643654808402,309567.875,733410.25,3691
296,0.002158641815185547,0.0012161567574366927,1192947.25,2626915.75,4550
297,0.0013176111970096827,0.0009149090037681162,533640.0,1297073.5,3888
298,0.0017989517655223608,0.001010805368423462,1479859.625,2871383.0,4600
299,0.0016528844134882092,0.0012372401542961597,275825.84375,608983.375,3655
300,,,,,0
301,,,,,0
302,,,,,0
303,,,1846996.625,2912428.0,0
304,,,,,0
305,,,,,0
306,,,,,0
307,,,,,0
308,,,,,0
309,,,,,0
310,,,,,0
311,,,,,0
